Date,ZGC,GDS,HTKJ
2023-01-03,20.37,103.2,8.45
2023-01-04,22.41,100.41,8.5
2023-01-05,24.65,102.66,8.55
2023-01-06,23.46,102.88,8.53
2023-01-09,23.4,105.06,8.55
2023-01-10,22.87,106.38,8.66
2023-01-11,23.16,107.1,8.72
2023-01-12,23.29,106.33,8.56
2023-01-13,23.6,108.43,8.59
2023-01-16,23.73,115.02,8.68
2023-01-17,24.06,120.01,8.78
2023-01-18,23.87,116.69,8.78
2023-01-19,23.85,118.83,8.89
2023-01-20,23.76,122.63,8.91
2023-01-30,23.37,121.25,8.97
2023-01-31,23.0,114.55,8.92
2023-02-01,23.3,115.0,9.19
2023-02-02,22.85,117.09,9.23
2023-02-03,23.12,117.52,9.29
2023-02-06,22.8,114.39,9.15
2023-02-07,23.35,113.49,9.16
2023-02-08,22.94,113.08,9.05
2023-02-09,24.0,118.08,9.36
2023-02-10,23.41,116.55,9.47
2023-02-13,25.2,117.05,9.61
2023-02-14,24.41,115.86,9.72
2023-02-15,25.42,116.77,9.9
2023-02-16,24.6,113.33,9.54
2023-02-17,22.88,108.74,9.36
2023-02-20,24.12,109.52,9.66
2023-02-21,24.51,108.85,9.59
2023-02-22,24.3,108.5,9.57
2023-02-23,23.2,108.53,9.45
2023-02-24,23.65,107.02,9.5
2023-02-27,24.48,104.02,9.51
2023-02-28,25.4,104.89,9.58
2023-03-01,26.99,104.5,9.78
2023-03-02,26.57,105.19,9.67
2023-03-03,25.83,105.75,10.0
2023-03-06,26.0,105.12,9.88
2023-03-07,24.86,101.27,9.5
2023-03-08,25.1,101.8,9.65
2023-03-09,27.61,102.19,9.66
2023-03-10,27.41,101.03,9.61
2023-03-13,27.98,101.5,9.63
2023-03-14,27.28,105.04,9.86
2023-03-15,26.79,104.96,9.84
2023-03-16,26.64,105.28,10.15
2023-03-17,27.44,105.17,10.09
2023-03-20,28.05,107.82,10.36
2023-03-21,27.95,107.51,10.44
2023-03-22,29.38,106.05,10.4
2023-03-23,31.26,116.66,10.37
2023-03-24,31.63,117.9,10.24
2023-03-27,30.56,114.01,10.27
2023-03-28,30.11,108.8,10.02
2023-03-29,30.44,115.02,10.11
2023-03-30,28.98,121.32,10.1
2023-03-31,29.29,122.0,10.1
2023-04-03,32.22,131.53,10.44
2023-04-04,34.43,130.56,10.5
2023-04-06,33.8,134.5,10.88
2023-04-07,34.16,138.6,10.82
2023-04-10,31.2,130.86,10.54
2023-04-11,31.52,132.72,10.56
2023-04-12,33.4,134.99,10.63
2023-04-13,30.64,128.31,10.27
2023-04-14,30.74,135.41,10.69
2023-04-17,31.56,135.9,10.5
2023-04-18,32.71,132.91,10.3
2023-04-19,31.95,130.75,10.26
2023-04-20,34.26,136.28,10.31
2023-04-21,32.5,126.41,9.48
2023-04-24,33.28,120.74,9.37
2023-04-25,32.4,117.72,9.24
2023-04-26,29.16,110.98,8.91
2023-04-27,27.81,112.48,8.95
2023-04-28,29.63,108.47,8.96
2023-05-04,28.92,105.0,8.8
2023-05-05,27.91,104.8,8.82
2023-05-08,29.1,104.16,8.9
2023-05-09,28.67,101.76,9.12
2023-05-10,27.83,100.09,9.1
2023-05-11,27.08,100.83,9.07
2023-05-12,26.62,100.52,9.11
2023-05-15,27.16,102.08,9.44
2023-05-16,26.92,106.07,9.66
2023-05-17,27.45,109.45,9.64
2023-05-18,28.53,107.2,9.55
2023-05-19,28.28,112.01,9.66
2023-05-22,28.07,113.31,9.59
2023-05-23,27.42,107.48,9.42
2023-05-24,27.31,108.38,9.43
2023-05-25,29.02,110.8,9.44
2023-05-26,29.38,114.0,9.53
2023-05-29,30.47,112.17,9.75
2023-05-30,31.56,112.6,9.84
2023-05-31,32.62,110.8,9.72
2023-06-01,32.45,110.31,9.69
2023-06-02,31.95,108.89,9.63
2023-06-05,32.16,107.0,9.53
2023-06-06,31.08,103.06,9.25
2023-06-07,31.13,103.24,9.42
2023-06-08,31.0,101.13,9.19
2023-06-09,32.99,103.25,9.29
2023-06-12,32.71,102.9,9.39
2023-06-13,33.4,111.94,9.7
2023-06-14,34.4,112.2,9.69
2023-06-15,34.06,110.91,9.62
2023-06-16,35.27,111.88,9.62
2023-06-19,36.74,114.08,9.75
2023-06-20,36.8,113.36,9.61
2023-06-21,36.77,107.8,9.33
2023-06-26,35.02,105.85,9.15
2023-06-27,34.94,105.84,9.22
2023-06-28,31.45,105.05,9.05
2023-06-29,31.37,105.36,9.11
2023-06-30,31.85,106.25,9.2
2023-07-03,31.8,106.39,9.23
2023-07-04,31.58,108.82,9.44
2023-07-05,31.0,110.35,9.38
2023-07-06,31.5,110.44,9.48
2023-07-07,30.61,105.21,9.28
2023-07-10,30.14,106.0,9.17
2023-07-11,30.55,115.33,9.42
2023-07-12,28.75,113.21,9.31
2023-07-13,28.69,118.25,9.6
2023-07-14,29.88,117.34,9.78
2023-07-17,29.81,118.36,9.79
2023-07-18,29.14,115.73,10.07
2023-07-19,28.69,114.6,9.97
2023-07-20,27.57,112.37,9.73
2023-07-21,27.33,112.27,9.77
2023-07-24,28.25,110.93,9.67
2023-07-25,28.46,112.9,9.77
2023-07-26,27.72,111.8,9.69
2023-07-27,27.33,110.46,9.53
2023-07-28,26.94,114.23,9.54
2023-07-31,27.28,114.78,9.59
2023-08-01,27.68,114.41,9.56
2023-08-02,27.68,113.98,9.56
2023-08-03,27.5,114.11,9.5
2023-08-04,28.84,106.86,9.65
2023-08-07,28.42,105.33,9.68
2023-08-08,28.25,104.75,9.35
2023-08-09,27.26,104.06,9.35
2023-08-10,27.27,103.65,9.35
2023-08-11,26.44,102.05,9.16
2023-08-14,27.04,101.19,9.1
2023-08-15,26.46,97.75,9.03
2023-08-16,25.86,94.5,9.0
2023-08-17,26.0,95.47,9.03
2023-08-18,25.24,93.77,8.88
2023-08-21,25.59,91.51,8.78
2023-08-22,26.26,92.14,8.83
2023-08-23,25.3,90.1,8.62
2023-08-24,25.59,91.51,8.6
2023-08-25,24.42,89.1,8.33
2023-08-28,25.49,89.49,8.47
2023-08-29,26.63,92.27,8.74
2023-08-30,27.11,94.0,8.92
2023-08-31,26.93,93.98,8.98
2023-09-01,26.39,94.5,8.93
2023-09-04,26.87,96.8,9.08
2023-09-05,26.25,99.64,9.1
2023-09-06,26.1,99.92,9.26
2023-09-07,25.21,98.3,9.13
2023-09-08,24.95,97.35,9.14
2023-09-11,25.97,97.5,9.22
2023-09-12,26.2,97.79,9.18
2023-09-13,25.13,98.95,9.04
2023-09-14,25.0,96.96,8.98
2023-09-15,24.62,100.0,9.05
2023-09-18,24.44,99.51,9.07
2023-09-19,24.04,101.39,8.92
2023-09-20,24.01,100.44,8.85
2023-09-21,24.22,100.52,8.94
2023-09-22,25.2,101.98,9.1
2023-09-25,23.51,99.95,9.0
2023-09-26,23.47,98.78,8.87
2023-09-27,23.39,98.88,8.91
2023-09-28,23.57,98.6,8.98
2023-10-09,23.58,102.69,9.01
2023-10-10,23.27,103.85,9.15
2023-10-11,23.69,105.0,9.23
2023-10-12,23.12,104.3,9.18
2023-10-13,22.56,103.18,9.26
2023-10-16,22.17,101.14,9.02
2023-10-17,21.89,102.2,9.06
2023-10-18,20.52,100.4,8.96
2023-10-19,20.51,99.46,9.02
2023-10-20,20.02,97.39,8.7
2023-10-23,19.43,94.7,8.53
2023-10-24,19.6,97.68,8.58
2023-10-25,19.64,96.45,8.77
2023-10-26,19.87,94.38,8.79
2023-10-27,19.69,101.83,8.88
2023-10-30,19.97,106.88,8.97
2023-10-31,19.61,107.0,8.93
2023-11-01,19.55,105.46,8.89
2023-11-02,19.32,104.53,8.83
2023-11-03,19.81,108.0,9.05
2023-11-06,20.3,109.35,9.22
2023-11-07,20.79,106.94,9.27
2023-11-08,20.82,106.69,9.19
2023-11-09,21.45,105.1,9.09
2023-11-10,20.98,105.18,9.08
2023-11-13,21.39,104.11,9.19
2023-11-14,21.45,103.67,9.28
2023-11-15,21.52,106.99,9.28
2023-11-16,21.29,104.69,9.23
2023-11-17,21.53,104.98,9.23
2023-11-20,21.88,100.06,9.26
2023-11-21,21.33,97.9,9.15
2023-11-22,21.03,95.69,9.1
2023-11-23,21.23,96.69,9.14
2023-11-24,20.78,94.76,8.95
